Transport type and mode,2022 emphasised (ktPM2.5),Proportion of domestic transport emissions 2022 (%),Percentage change 2021 to 2022 (%),Percentage change 2012 to 2022 (%),Percentage change 1990 to 2022 (%),1990 (ktPM2.5),1991 (ktPM2.5),1992 (ktPM2.5),1993 (ktPM2.5),1994 (ktPM2.5),1995 (ktPM2.5),1996 (ktPM2.5),1997 (ktPM2.5),1998 (ktPM2.5),1999 (ktPM2.5),2000 (ktPM2.5),2001 (ktPM2.5),2002 (ktPM2.5),2003 (ktPM2.5),2004 (ktPM2.5),2005 (ktPM2.5),2006 (ktPM2.5),2007 (ktPM2.5),2008 (ktPM2.5),2009 (ktPM2.5),2010 (ktPM2.5),2011 (ktPM2.5),2012 (ktPM2.5),2013 (ktPM2.5),2014 (ktPM2.5),2015 (ktPM2.5),2016 (ktPM2.5),2017 (ktPM2.5),2018 (ktPM2.5),2019 (ktPM2.5),2020 (ktPM2.5),2021 (ktPM2.5),2022 (ktPM2.5)
"Domestic road transport, Road abrasion, Buses and coaches",0.1,0%,14%,-29%,-28%,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Domestic road transport, Road abrasion, Motorcycles and mopeds",0,0%,12%,9%,-17%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Total domestic road transport, Road abrasion",2.7,19%,7%,6%,24%,2.2,2.2,2.2,2.2,2.2,2.3,2.4,2.4,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.6,2.6,2.6,2.6,2.6,2.6,2.7,2.7,2.8,2.8,2.8,2.3,2.5,2.7
Total domestic road transport,11.6,80%,3%,-38%,-62%,30.9,32.9,33.9,35.2,35.8,35.9,36.2,35,34.3,33.3,29.5,28.7,27.8,27.1,26.5,25.8,25.1,24.3,23.1,21.7,21,19.5,18.6,17.6,16.6,15.9,15.3,14.6,13.9,13.3,10.4,11.2,11.6
"Domestic non-road transport, Rail",0.3,2%,-3%,-27%,-72%,1.1,1.1,1.2,1.2,1.1,1.1,1.2,1.2,1.2,1.3,1.3,1.2,1.1,1.1,1,1,1,0.9,0.9,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3
"Domestic non-road transport, Aviation (landing and takeoff) [note 4]",0.1,1%,100%,-19%,-24%,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Domestic non-road transport, Shipping [note 5]",1.9,13%,5%,-38%,-88%,16.4,14.3,12.4,12.1,12.9,13.1,12.8,11.9,11.8,11.5,10.2,9.7,10,9.6,9.6,9.7,9.1,6.2,5.2,4.6,3.8,3.3,3.1,2.7,2.7,2.5,2.5,2.5,2.5,2.5,1.7,1.8,1.9
"Domestic non-road transport, Other [note 6]",0.3,2%,4%,-55%,-86%,2.3,2.2,2.1,2,1.9,1.8,1.8,1.7,1.7,1.6,1.5,1.6,1.7,1.5,1.5,1.4,1.3,1.2,1.1,1,0.9,0.8,0.7,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.3,0.3,0.3
Total domestic non-road transport,2.6,18%,6%,-39%,-87%,19.9,17.6,15.9,15.4,16.1,16.2,15.8,15,14.9,14.6,13.2,12.7,12.9,12.4,12.2,12.2,11.6,8.5,7.3,6.1,5.2,4.6,4.3,3.9,3.8,3.6,3.6,3.6,3.5,3.5,2.4,2.5,2.6
"Military, Aircraft",0.1,0%,3%,-41%,-73%,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Military, Shipping",0.1,1%,-18%,-66%,-87%,0.9,0.9,0.8,0.7,0.7,0.7,0.6,0.7,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1
Total domestic military transport,0.2,1%,-11%,-59%,-84%,1.1,1.1,1,0.9,0.8,0.8,0.8,0.8,0.6,0.7,0.6,0.6,0.6,0.6,0.7,0.6,0.6,0.7,0.6,0.6,0.6,0.5,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Total domestic transport,14.4,100%,3%,-38%,-72%,52,51.6,50.8,51.5,52.7,52.9,52.9,50.8,49.8,48.6,43.3,42.1,41.3,40.1,39.5,38.6,37.3,33.5,31,28.3,26.8,24.6,23.4,21.9,20.8,19.8,19.1,18.4,17.7,17.1,12.9,13.9,14.4
"Net domestic emissions all sources [notes 7, 10]",64.8,[z],-2%,-18%,-72%,233.9,232.7,222.7,207.4,196.4,176.5,172.5,163.8,155.4,151.1,136.1,133.1,116.3,114.4,111,109.4,107.8,100.1,90.9,82.9,85,78.7,79.2,79,75.5,74.6,72.7,73,73.6,70.1,63.8,66,64.8
Transport as a percentage of net domestic emissions (%) [note 10],22%,[z],[z],[z],[z],22%,22%,23%,25%,27%,30%,31%,31%,32%,32%,32%,32%,35%,35%,36%,35%,35%,33%,34%,34%,32%,31%,30%,28%,27%,26%,26%,25%,24%,24%,20%,21%,22%
Road transport resuspension [note 8],6.3,[z],9%,6%,28%,4.9,4.9,4.9,4.9,5,5.1,5.3,5.4,5.5,5.6,5.6,5.7,5.8,5.8,5.9,5.9,6,6.1,6,6,5.9,5.9,5.9,5.9,6.1,6.2,6.4,6.5,6.5,6.6,5.2,5.8,6.3
"Transport memo items, Aviation (cruise) [notes 4, 7]",1.2,[z],105%,-12%,-6%,1.3,1.3,1.3,1.3,1.2,1.2,1.3,1.3,1.5,1.5,1.6,1.5,1.5,1.5,1.6,1.7,1.7,1.6,1.6,1.5,1.4,1.5,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,0.6,0.6,1.2
"Transport memo items, International shipping [note 7]",1.9,[z],3%,-68%,-92%,24.5,19.8,17.4,16.9,14.1,16,16.6,19.3,17.9,12.4,9.9,9.6,8.5,8.9,10.5,11.5,13,9.4,12.3,10.1,7.1,6.4,5.8,5,4.7,3.8,4,3.7,3.7,3.3,1.8,1.8,1.9
